SECTION,BID TOTALS,ACTUAL,VARIANCE,DATE,VARIANCE (%),PROJECT NAME
PRE-PRODUCTION | WRAP LABOR,23154.0,44933.33,21779.33,2022-01-01,94.06292645155789,22051_D4VD
SHOOTING LABOR,18615.13,32758.57,14143.44,2022-01-01,75.97819618988521,22051_D4VD
LOCATION AND TRAVEL,18120.0,34587.05,16467.05,2022-01-01,90.87775933174515,22051_D4VD
ART DEPARTMENT LABOR,0.0,2356.0,2356.0,2022-01-01,23560000000.0,22051_D4VD
ART DEPARTMENT EXPENSES,150.0,0.0,-150.0,2022-01-01,-99.99999333333378,22051_D4VD
EQUIPMENT COSTS,8400.0,14557.66,6157.66,2022-01-01,73.30547610320777,22051_D4VD
"FILMSTOCK, DEVELOP AND PRINT",400.0,300.0,-100.0,2022-01-01,-24.99999937500002,22051_D4VD
MISCELLANEOUS,1650.0,2086.73,436.73,2022-01-01,26.4684846880698,22051_D4VD
DIRECTOR | CREATIVE FEES,24500.0,24500.0,0.0,2022-01-01,0.0,22051_D4VD
POST PRODUCTION LABOR,6400.0,0.0,-6400.0,2022-01-01,-99.99999984375,22051_D4VD
EDITORIAL | FINISHING | POST PRODUCTION,2400.0,1200.0,-1200.0,2022-01-01,-49.99999979166667,22051_D4VD
PRODUCTION FEE,19502.28,19502.28,0.0,2022-01-01,0.0,22051_D4VD
PRE-PRODUCTION | WRAP LABOR,12100.0,10000.0,-2100.0,2022-04-21,-17.355371886483166,22045_BOOGIE
PRE-PRODUCTION | WRAP EXPENSES,1626.25,1254.39,-371.86,2022-04-21,-22.86610285708776,22045_BOOGIE
DIRECTOR | CREATIVE FEES,8750.0,8750.0,0.0,2022-04-21,0.0,22045_BOOGIE
PRODUCTION FEE,15004.87,15004.87,0.0,2022-04-21,0.0,22045_BOOGIE
PRE-PRODUCTION | WRAP LABOR,3720.0,3000.0,-720.0,2022-01-01,-19.354838657648283,22053_GYWYW
DIRECTOR | CREATIVE FEES,15000.0,15000.0,0.0,2022-01-01,0.0,22053_GYWYW
PRODUCTION FEE,4652.51,4652.51,0.0,2022-01-01,0.0,22053_GYWYW
PRE-PRODUCTION | WRAP LABOR,1750.0,1000.0,-750.0,2022-03-04,-42.8571426122449,22056_MERCARI
PRE-PRODUCTION | WRAP EXPENSES,95.0,1262.84,1167.84,2022-03-04,3.0761588385377867,22056_MERCARI
LOCATION AND TRAVEL,2025.0,1308.48,-716.52,2022-03-04,-35.38370352896936,22056_MERCARI
"MAKEUP, WARDROBE, AND ANIMALS",1000.0,2944.5,1944.5,2022-03-04,194.44999805550003,22056_MERCARI
EQUIPMENT COSTS,4450.0,4850.0,400.0,2022-03-04,8.988764024744352,22056_MERCARI
"FILMSTOCK, DEVELOP AND PRINT",220.0,191.42,-28.58,2022-03-04,-12.990908500413248,22056_MERCARI
DIRECTOR | CREATIVE FEES,0.0,1000.0,1000.0,2022-03-04,0.0,22056_MERCARI
